study_id,session_id,trial_id,run_id,sequence_order,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,classification,classification_confidence,handling_path,handling_path_numeric,risk_weighting,risk_numeric,scrutiny,scrutiny_numeric,verification_priority,verification_numeric,overall_confidence,confidence_avg,explicit_difference,difference_type,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny,coder_id,coding_version
study1_P1,S1,P1_001,R1,1,gemini,2026-05-27,lanteravia.com,lanteravia,.com,general-purpose,general,full_triage,S1_P1,unclear,100,Path B,2,medium,2,no,0,low,1,high,92,no,none,uncertainty,"Explicitly preserves uncertainty due to absent content, unknown HTTP behavior, and instruction not to interpret the second-level label semantically. Uses .com as lacking a specific structural sector signal and routes to neutral uncertainty-preserving handling with low verification priority.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_002,R1,2,gemini,2026-05-27,lanteravia.med,lanteravia,.med,sector-specific,medical,full_triage,S1_P1,medical,95,Path A,1,high,3,yes,1,high,3,high,93,yes,"classification,risk,verification",structural,"Explicitly grounds classification and handling escalation in the .med namespace as a structural healthcare signal. Strong emphasis on YMYL risk, misinformation/phishing potential, credential verification, sandboxing, and conservative handling under uncertainty.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_003,R1,3,gemini,2026-05-27,lanteravia.finance,lanteravia,.finance,sector-specific,finance,full_triage,S1_P1,finance,90,Path A,1,medium,2,yes,1,medium,2,high,88,yes,"classification,scrutiny",structural,"Explicitly grounds sector classification and handling escalation in the .finance namespace as a structural financial-services signal. Emphasizes fraud, phishing, regulatory exposure, sandboxing, and cryptographic validation while avoiding direct legitimacy attribution.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_004,R1,4,gemini,2026-05-27,lanteravia.legal,lanteravia,.legal,sector-specific,legal,full_triage,S1_P1,legal,85,Path A,1,medium,2,yes,1,medium,2,medium-high,77,yes,"classification,scrutiny",structural,"Explicitly grounds classification and procedural escalation in the .legal namespace as a high-impact legal/regulatory signal. Emphasizes spoofing, credential harvesting, defensive containment, and restricted processing under conditions of complete informational uncertainty.",6,1,1,1,1,RF,v1
study1_P1,S1,P1_005,R1,5,gemini,2026-05-27,lanteravia.kids,lanteravia,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/education,95,Path A,1,high,3,yes,1,high,3,high,92,yes,"classification,risk,verification",structural,"Explicitly grounds classification and procedural escalation in the .kids namespace as a child-oriented structural signal. Strong emphasis on child safety, COPPA/privacy exposure, harmful content prevention, and mandatory protective validation under conditions of total uncertainty.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_006,R1,6,gemini,2026-05-27,lanteravia.org,lanteravia,.org,general-purpose,general,full_triage,S1_P1,unclear,100,Path B,2,medium,2,no,0,low,1,high,92,yes,classification,uncertainty,"Explicitly treats .org as a generic organizational namespace lacking sufficient sector specificity for classification. Emphasizes neutral uncertainty management, deferred verification, and quarantine-style handling in the absence of active behavioral or content signals.",6,1,1,1,0,RF,v1
study1_P1,S1,P1_007,R1,1,gemini,2026-05-27,merquonix.com,merquonix,.com,general-purpose,general,full_triage,S1_P1,unclear,100,Path B,2,medium,2,no,0,low,1,high,92,no,none,uncertainty,"Explicitly preserves uncertainty due to absent content, unknown HTTP behavior, and prohibition on semantic interpretation of the second-level label. Treats .com as a generic commercial namespace lacking sufficient structural specificity for sector classification or elevated scrutiny.",7,1,1,1,0,RF,v1
study1_P1,S1,P1_008,R1,2,gemini,2026-05-27,merquonix.med,merquonix,.med,sector-specific,medical,full_triage,S1_P1,medical,95,Path A,1,high,3,yes,1,high,3,high,93,yes,"classification,risk,verification",structural,"Explicitly grounds classification and procedural escalation in the .med namespace as a structural healthcare-sector signal. Strong emphasis on YMYL risk, public-health consequences, regulatory validation, credential verification, and strict technical isolation under uncertainty.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_009,R1,3,gemini,2026-05-27,merquonix.finance,merquonix,.finance,sector-specific,finance,full_triage,S1_P1,finance,95,Path A,1,high,3,yes,1,high,3,high,91,yes,"classification,risk,verification",structural,"Explicitly grounds classification and escalation in the .finance namespace as a structural financial-sector signal. Strong emphasis on YMYL exposure, fraud/phishing potential, rapid triage requirements, and isolated inspection workflows under conditions of total uncertainty.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_010,R1,4,gemini,2026-05-27,merquonix.legal,merquonix,.legal,sector-specific,legal,full_triage,S1_P1,legal,85,Path B,2,medium,2,yes,1,medium,2,medium,80,yes,"classification,scrutiny",structural,"Explicitly grounds classification and scrutiny escalation in the .legal namespace as a structural legal/regulatory signal while preserving uncertainty due to absent behavioral and content evidence. Emphasizes regulated-sector sensitivity, defensive posture, and queue-based verification without presuming legitimacy or threat.",6,1,1,1,1,RF,v1
study1_P1,S1,P1_011,R1,5,gemini,2026-05-27,merquonix.kids,merquonix,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/education,90,Path A,1,high,3,yes,1,medium,2,high,87,yes,"classification,risk,verification",structural,"Explicitly grounds classification and procedural escalation in the .kids namespace as a child-focused structural signal. Strong emphasis on child safety, COPPA/privacy exposure, regulatory validation, sandboxing, and protective handling for vulnerable populations under conditions of total uncertainty.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_012,R1,6,gemini,2026-05-27,merquonix.org,merquonix,.org,general-purpose,general,full_triage,S1_P1,unclear,100,Path B,2,medium,2,no,0,medium,2,high,90,no,none,uncertainty,"Explicitly treats .org as a general organizational namespace lacking sufficient sector specificity for reliable classification. Emphasizes baseline uncertainty management, medium-risk neutral handling, and automated technical validation before escalation or routine processing.",6,1,1,1,0,RF,v1
study1_P1,S1,P1_013,R1,1,gemini,2026-05-27,caldrison.com,caldrison,.com,general-purpose,general,full_triage,S1_P1,unclear,100,Path B,2,medium,2,no,0,low,1,high,92,no,none,uncertainty,"Explicitly preserves uncertainty due to absent content, unknown HTTP behavior, and lack of interpretable structural or semantic signals. Emphasizes neutral isolation and deferred verification rather than escalation in the absence of active threat indicators or sector-specific namespace cues.",7,1,1,1,0,RF,v1
study1_P1,S1,P1_014,R1,2,gemini,2026-05-27,caldrison.med,caldrison,.med,sector-specific,medical,full_triage,S1_P1,medical,95,Path A,1,high,3,yes,1,high,3,high,92,yes,"classification,risk,verification",structural,"Explicitly grounds classification and procedural escalation in the .med namespace as a structural medical/healthcare-sector signal. Strong emphasis on YMYL harm, misinformation/malware risk, credential/regulatory validation, sandboxing, and rigorous defensive vetting under total uncertainty.",9,1,1,1,1,RF,v1
study1_P1,S1,P1_015,R1,3,gemini,2026-05-27,caldrison.finance,caldrison,.finance,sector-specific,finance,full_triage,S1_P1,finance,85,Path A,1,high,3,yes,1,high,3,high,88,yes,"classification,risk,verification",structural,"Explicitly grounds classification and escalation in the .finance namespace as a structural financial-sector signal. Strong emphasis on sensitive financial exposure, operational uncertainty, sandboxing, signature/reputation analysis, and defensive handling before downstream interaction.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_016,R1,4,gemini,2026-05-27,caldrison.legal,caldrison,.legal,sector-specific,legal,full_triage,S1_P1,legal,85,Path B,2,medium,2,yes,1,medium,2,medium,80,yes,"classification,scrutiny",structural,"Explicitly grounds classification and scrutiny escalation in the .legal namespace as a structural legal-services signal while preserving uncertainty due to absent content and behavioral evidence. Emphasizes high-stakes legal impact, cautious handling, and ambiguity-preserving isolation prior to deeper semantic discovery.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_017,R1,5,gemini,2026-05-27,caldrison.kids,caldrison,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/education,90,Path A,1,high,3,yes,1,high,3,high,93,yes,"classification,risk,verification",structural,"Explicitly grounds classification and escalation in the .kids namespace as a structural child-focused signal. Strong emphasis on child safety, COPPA/GDPR-K compliance, vulnerable-demographic protection, sandbox isolation, and rapid regulatory/safety verification under total uncertainty.",9,1,1,1,1,RF,v1
study1_P1,S1,P1_018,R1,6,gemini,2026-05-27,caldrison.org,caldrison,.org,general-purpose,general,full_triage,S1_P1,unclear,100,Path B,2,medium,2,no,0,low,1,high,93,no,none,uncertainty,"Explicitly treats .org as a general organizational namespace lacking sufficient sector specificity for reliable classification. Emphasizes ambiguity preservation, neutral risk posture, deferred verification, and sandboxed holding behavior in the absence of content, HTTP telemetry, or active threat indicators.",7,1,1,1,0,RF,v1
study1_P1,S1,P1_019,R1,1,perplexity,2026-05-27,lanteravia.com,lanteravia,.com,general-purpose,general,full_triage,S1_P1,unclear,92,Path B,2,medium,2,no,0,medium,2,medium,83,no,none,uncertainty,Explicitly preserves ambiguity and refuses sector assignment due to absent semantic and behavioral signals. Frames .com as an unclassified namespace condition requiring neutral uncertainty-preserving handling and non-urgent verification.,6,1,1,1,0,RF,v1
study1_P1,S1,P1_020,R1,2,perplexity,2026-05-27,lanteravia.med,lanteravia,.med,sector-specific,medical,full_triage,S1_P1,unclear,86,Path A,1,medium,2,yes,1,high,3,medium,82,yes,"classification,scrutiny,verification",structural,"Explicitly preserves uncertainty while acknowledging .med as only a weak healthcare-associated namespace signal rather than semantic proof. Emphasizes precautionary scrutiny, stronger verification requirements for healthcare-adjacent sources, and elevated handling without presuming legitimacy or trustworthiness.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_021,R1,3,perplexity,2026-05-27,lanteravia.finance,lanteravia,.finance,sector-specific,finance,full_triage,S1_P1,unclear,28,Path B,2,medium,2,yes,1,high,3,medium,69,yes,"classification,scrutiny,verification",structural,"Explicitly resists confident sector classification despite acknowledging a weak finance-associated namespace cue. Emphasizes opacity, ambiguity preservation, deferred trust assignment, and elevated verification requirements prior to downstream operational use.",6,0,1,1,1,RF,v1
study1_P1,S1,P1_022,R1,4,perplexity,2026-05-27,lanteravia.legal,lanteravia,.legal,sector-specific,legal,full_triage,S1_P1,legal,85,Path B,2,medium,2,yes,1,medium,2,medium,79,yes,"classification,scrutiny,verification",structural,"Explicitly grounds classification in the .legal namespace as a restricted legal-sector TLD while preserving uncertainty regarding legitimacy and authority. Emphasizes procedural caution, verification before trust assignment, and uncertainty-preserving handling due to absent HTTP behavior and visible content.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_023,R1,5,perplexity,2026-05-27,lanteravia.kids,lanteravia,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/education,75,Path A,1,medium,2,yes,1,high,3,medium,78,yes,"classification,scrutiny,verification",structural,"Explicitly grounds classification and handling in the .kids namespace as a child-oriented structural signal while emphasizing that unrestricted registration prevents legitimacy inference. Strong focus on child-safety obligations, COPPA-related verification, and elevated scrutiny despite only moderate baseline risk weighting.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_024,R1,6,perplexity,2026-05-27,lanteravia.org,lanteravia,.org,general-purpose,general,full_triage,S1_P1,unclear,85,Path B,2,medium,2,yes,1,medium,2,medium,83,yes,"scrutiny,verification",structural,"Explicitly treats .org as a weak organizational namespace signal that is insufficient for legitimacy or sector inference under uncertainty. Emphasizes ambiguity preservation, delayed verification, and the insufficiency of namespace-level signals absent HTTP behavior or visible content.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_025,R1,1,perplexity,2026-05-27,merquonix.com,merquonix,.com,general-purpose,general,full_triage,S1_P1,unclear,65,Path B,2,medium,2,yes,1,medium,2,medium,72,yes,"scrutiny,verification,containment",structural,"Explicitly preserves ambiguity due to absent content and behavioral evidence while recommending heightened scrutiny and uncertainty-preserving handling. Emphasizes operational safeguards, passive infrastructure checks, and quarantine-oriented verification before escalation or normalization.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_026,R1,2,perplexity,2026-05-27,merquonix.med,merquonix,.med,sector-specific,medical,full_triage,S1_P1,unclear,34,Path B,2,medium,2,yes,1,high,3,medium,71,yes,"scrutiny,verification",structural,"Explicitly resists confident healthcare classification despite acknowledging .med as a weak possible signal. Emphasizes opacity, misclassification risk, uncertainty-preserving handling, and the need for verification before procedural normalization.",6,0,1,1,1,RF,v1
study1_P1,S1,P1_027,R1,3,perplexity,2026-05-27,merquonix.finance,merquonix,.finance,sector-specific,finance,full_triage,S1_P1,finance,85,Path A,1,high,3,yes,1,high,3,high,84,yes,"classification,risk,scrutiny,verification",structural,"Explicitly treats .finance as a strong semantic/restricted financial namespace signal and immediately escalates handling due to fraud, scam, and regulatory exposure concerns. Strong emphasis on elevated scrutiny, verification legitimacy, and asymmetric-risk reasoning under informational vacuum conditions.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_028,R1,4,perplexity,2026-05-27,merquonix.legal,merquonix,.legal,sector-specific,legal,full_triage,S1_P1,unclear,68,Path A,1,medium,2,yes,1,high,3,medium,66,yes,"classification,scrutiny,verification",structural,"Explicitly treats .legal as only a weak legal-services namespace cue while still escalating handling due to the possibility of regulated or high-stakes legal content. Emphasizes sparse evidence, uncertainty preservation, and cautious verification before routine handling.",7,0,1,1,1,RF,v1
study1_P1,S1,P1_029,R1,5,perplexity,2026-05-27,merquonix.kids,merquonix,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/education-or-unclear,55,Path B,2,medium,2,yes,1,medium,2,medium,62,yes,"scrutiny,verification,privacy",structural,"Frames .kids as a weak but meaningful child-oriented namespace cue while preserving ambiguity due to absent content and HTTP behavior. Emphasizes privacy, COPPA-style caution, sandboxed retrieval, and conservative uncertainty-preserving handling rather than immediate escalation.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_030,R1,6,perplexity,2026-05-27,merquonix.org,merquonix,.org,general-purpose,general,full_triage,S1_P1,unclear,87,Path B,2,medium,2,yes,1,high,3,medium,87,yes,"scrutiny,verification",structural,"Explicitly rejects semantic interpretation of the second-level label and frames the domain as an unresolved namespace condition under severe informational sparsity. Emphasizes ambiguity preservation, cautious verification, and high-priority confirmation of ownership and behavior before downstream reliance.",6,1,1,1,1,RF,v1
study1_P1,S1,P1_031,R1,1,perplexity,2026-05-27,caldrison.com,caldrison,.com,general-purpose,general,full_triage,S1_P1,unclear,92,Path B,2,medium,2,yes,1,high,3,medium,88,yes,"scrutiny,verification",structural,"Explicitly rejects sector inference from the .com namespace and frames the domain as a provisional unresolved source requiring cautious verification before downstream use. Emphasizes ambiguity preservation, high verification priority, and avoidance of premature escalation or normalization.",6,1,1,1,1,RF,v1
study1_P1,S1,P1_032,R1,2,perplexity,2026-05-27,caldrison.med,caldrison,.med,sector-specific,medical,full_triage,S1_P1,healthcare/medical,85,Path A,1,medium,2,yes,1,medium,2,medium,77,yes,"classification,scrutiny,verification",structural,"Explicitly treats .med as a restricted healthcare-oriented namespace signal while simultaneously stressing that namespace association does not establish legitimacy or credential verification. Emphasizes elevated scrutiny, healthcare-specific caution, and registry-backed verification requirements under uncertainty.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_033,R1,3,perplexity,2026-05-27,caldrison.finance,caldrison,.finance,sector-specific,finance,full_triage,S1_P1,unclear-with-finance-lean,72,Path A,1,medium,2,yes,1,high,3,medium,78,yes,"classification,scrutiny,verification",structural,Explicitly treats “finance” as only a namespace-level cue rather than semantic proof while still escalating handling because of potential high-impact financial misuse. Emphasizes conservative verification-forward triage under informational opacity and rejects routine handling absent semantic evidence.,7,0,1,1,1,RF,v1
study1_P1,S1,P1_034,R1,4,perplexity,2026-05-27,caldrison.legal,caldrison,.legal,sector-specific,legal,full_triage,S1_P1,legal-services-or-legal-tech,72,Path A,1,medium,2,yes,1,high,3,medium,72,yes,"classification,scrutiny,verification",structural,"Explicitly treats .legal as a coarse legal-sector namespace cue while preserving uncertainty about legitimacy, ownership, and operational status. Emphasizes regulated-adjacent caution, elevated scrutiny, and verification before factual or procedural reliance.",7,1,1,1,1,RF,v1
study1_P1,S1,P1_035,R1,5,perplexity,2026-05-27,caldrison.kids,caldrison,.kids,sector-specific,legal,child-oriented,S1_P1,unclear-child-oriented,45,Path A,1,high,3,yes,1,high,3,high,71,yes,"risk,scrutiny,verification,child-safety",structural,"Explicitly refuses confident sector classification while still treating the .kids namespace as sufficient to trigger elevated child-safety, privacy, and regulatory caution. Strong emphasis on COPPA-style obligations, high verification priority, and elevated scrutiny despite semantic ambiguity.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_036,R1,6,perplexity,2026-05-27,caldrison.org,caldrison,.org,general-purpose,general,full_triage,S1_P1,unclear,88,Path B,2,medium,2,yes,1,high,3,medium,87,yes,"scrutiny,verification",structural,"Explicitly resists nonprofit or organizational inference from the namespace alone and frames the domain as an opaque discovery-stage source requiring deferred classification. Emphasizes foundational uncertainty, high verification priority, and ambiguity-preserving handling prior to substantive reliance.",6,1,1,1,1,RF,v1
study1_P1,S1,P1_037,R1,1,claude,2026-05-27,lanteravia.com,lanteravia,.com,general-purpose,general,full_triage,S1_P1,unclear,8,Path B,2,medium,2,yes,1,medium,2,medium-low,48,no,none,uncertainty,"Explicitly frames the result as driven by signal absence rather than signal content. Strongly preserves ambiguity, distinguishes absence of signal from negative signal, and routes to Path B pending minimum viable signal acquisition.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_038,R1,2,claude,2026-05-27,lanteravia.med,lanteravia,.med,sector-specific,medical,full_triage,S1_P1,medical/healthcare-tentative,35,Path B,2,medium,2,yes,1,medium,2,medium,57,yes,"classification,scrutiny,verification",structural,"Frames .med as a weak healthcare-oriented structural cue while repeatedly emphasizing provisionality and uncertainty preservation. Distinguishes sectoral stakes from legitimacy, and explicitly avoids escalating to full Path A absent confirmed activity or harm despite recommending heightened scrutiny.",8,1,1,1,1,RF,v1
