study_id,session_id,trial_id,run_id,sequence_order,model_name,timestamp,domain,stem,tld,tld_type,label_type,prompt_type,prompt_id,classification,classification_confidence,handling_path,handling_path_numeric,risk_weighting,risk_numeric,scrutiny,scrutiny_numeric,verification_priority,verification_numeric,overall_confidence,confidence_avg,explicit_difference,difference_type,justification_type,justification_notes,caution_count,mentions_risk,mentions_verification,mentions_uncertainty,mentions_scrutiny,coder_id,coding_version
study1_P1,S1,P1_039,R1,3,claude,2026-05-27,lanteravia.finance,lanteravia,.finance,sector-specific,finance,full_triage,S1_P1,financial services/fintech,42,Path A,1,high,3,yes,1,medium,2,medium,60,yes,"classification,risk,scrutiny",structural,"Frames .finance as a weak but meaningful financial-sector structural prior while emphasizing that classification remains provisional under zero-content conditions. Strong emphasis on asymmetric downside risk, unresolved opacity, heightened scrutiny, and structurally conservative Path A routing.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_040,R1,4,claude,2026-05-27,lanteravia.legal,lanteravia,.legal,sector-specific,legal,full_triage,S1_P1,legal/professional-services,45,Path B,2,medium,2,yes,1,medium,2,medium,59,yes,"classification,scrutiny,authority",structural,"Frames .legal as a suggestive professional-authority namespace cue while explicitly rejecting legitimacy inference from the namespace alone. Emphasizes implied-authority risk, uncertainty-preserving handling, and the need for later registrant/content verification before trust assignment.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_041,R1,5,claude,2026-05-28,lanteravia.kids,lanteravia,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/youth-facing services,65,Path A,1,high,3,yes,1,high,3,high,78,yes,"classification,risk,scrutiny,verification",structural,"Frames .kids as a child/youth-facing structural namespace signal with high procedural utility while explicitly rejecting content, intent, legitimacy, or trustworthiness inference. Strong emphasis on vulnerable-population risk, duty-of-care logic, high verification priority, and Path A as a precautionary default under uncertainty.",9,1,1,1,1,RF,v1
study1_P1,S1,P1_042,R1,6,claude,2026-05-28,lanteravia.org,lanteravia,.org,general-purpose,general,full_triage,S1_P1,unclear,8,Path B,2,medium,2,yes,1,medium,2,medium,42,yes,"classification,risk,scrutiny,verification",structural,"Frames .org as carrying only a weak organizational/non-commercial namespace signal with no reliable sector classification under constrained uncertainty. Emphasizes signal absence rather than positive risk indicators, producing medium risk weighting, heightened scrutiny, and uncertainty-preserving handling due to complete opacity and lack of mitigating signals.",4,0,1,0,0,RF,v1
study1_P1,S1,P1_043,R1,1,claude,2026-05-28,merquonix.com,merquonix,.com,general-purpose,general,full_triage,S1_P1,unclear,5,Path B,2,medium,2,yes,1,medium,2,medium,55,yes,"classification,risk,scrutiny,verification",structural,"Frames merquonix.com as a maximal uncertainty / absence-of-signal case under general-purpose namespace conditions. Explicitly rejects semantic interpretation of the SLD and repeatedly distinguishes uncertainty from positive threat evidence, resulting in medium risk weighting, heightened scrutiny, and uncertainty-preserving handling.",3,0,1,0,0,RF,v1
study1_P1,S1,P1_044,R1,2,claude,2026-05-28,merquonix.med,merquonix,.med,sector-specific,medical,full_triage,S1_P1,health/medical (probable),42,Path B,2,medium,2,yes,1,medium,2,medium,60,yes,"classification,risk,scrutiny,verification",structural,Frames .med as providing a weak but meaningful health/medical namespace signal while explicitly rejecting semantic inference from the SLD and withholding legitimacy or authority conclusions. Maintains medium risk and uncertainty-preserving handling despite heightened scrutiny due to asymmetric harm potential in medical-adjacent contexts.,6,1,1,0,0,RF,v1
study1_P1,S1,P1_045,R1,3,claude,2026-05-28,merquonix.finance,merquonix,.finance,sector-specific,finance,full_triage,S1_P1,financial services (probable),42,Path A,1,high,3,yes,1,medium,2,high,61,yes,"classification,risk,scrutiny,verification",structural,"Frames .finance as a meaningful financial-sector namespace signal despite semantic opacity of the SLD. Elevated-scrutiny handling is triggered by the combination of finance-oriented namespace utility, unknown HTTP behavior, and absence of content-layer reassurance signals, while explicitly withholding legitimacy or authority inference.",8,1,1,1,1,RF,v1
study1_P1,S1,P1_046,R1,4,claude,2026-05-28,merquonix.legal,merquonix,.legal,sector-specific,legal,full_triage,S1_P1,legal/professional services (tentative),38,Path B,2,medium,2,yes,1,medium,2,medium,52,yes,"classification,risk,scrutiny,verification",structural,Frames .legal as providing a weak professional/legal namespace signal while emphasizing that the SLD contributes no interpretable semantic content. Medium-risk uncertainty-preserving handling is maintained because no behavioral or content-level evidence exists to either escalate or normalize the source.,5,1,1,0,0,RF,v1
study1_P1,S1,P1_047,R1,5,claude,2026-05-28,merquonix.kids,merquonix,.kids,sector-specific,child-oriented,full_triage,S1_P1,children's digital/youth-oriented services,62,Path A,1,high,3,yes,1,high,3,high,78,yes,"classification,risk,scrutiny,verification",structural,"Frames .kids as a strong vulnerable-population namespace signal with elevated procedural utility under uncertainty. High-risk weighting and elevated-scrutiny handling are driven by audience-class sensitivity, unresolved HTTP behavior, and absence of content, while explicitly rejecting legitimacy or intent inference.",10,1,1,1,1,RF,v1
study1_P1,S1,P1_048,R1,6,claude,2026-05-28,merquonix.org,merquonix,.org,general-purpose,general,full_triage,S1_P1,unclear,8,Path B,2,medium,2,yes,1,medium,2,medium,52,yes,"classification,risk,scrutiny,verification",structural,"Frames merquonix.org as a maximal uncertainty / weak-signal case where .org provides only minimal organizational orientation and the opaque SLD contributes no semantic value. Emphasizes compounded uncertainty, absence-of-signal logic, and uncertainty-preserving handling while explicitly avoiding legitimacy or threat inference.",4,0,1,0,0,RF,v1
study1_P1,S1,P1_049,R1,1,claude,2026-05-28,caldrison.com,caldrsion,.com,general-purpose,general,full_triage,S1_P1,unclear,5,Path B,2,medium,2,no,0,medium,2,medium,55,no,"classification,risk,scrutiny,verification",structural,Frames caldrison.com as a maximal ambiguity case under general-purpose namespace conditions. Emphasizes irreducible uncertainty and absence-of-signal logic while explicitly declining heightened scrutiny due to lack of positive threat indicators or resource-allocation justification. Preserves uncertainty through Path B routing pending acquisition of HTTP or content-level signals.,2,0,0,0,0,RF,v1
study1_P1,S1,P1_050,R1,2,claude,2026-05-28,caldrison.med,caldrsion,.med,sector-specific,medical,full_triage,S1_P1,medical/healthcare (tentative),35,Path A,1,high,3,yes,1,high,3,high,60,yes,"classification,risk,scrutiny,verification",structural,"Frames .med as a healthcare-oriented namespace signal that materially elevates procedural sensitivity despite absent semantic, operational, or behavioral corroboration. Elevated scrutiny and high verification priority are driven by potential downstream health-related consequences and unresolved HTTP/content uncertainty rather than legitimacy or authority inference.",8,1,1,1,0,RF,v1
study1_P1,S1,P1_051,R1,3,claude,2026-05-28,caldrison.finance,caldrsion,.finance,sector-specific,finance,full_triage,S1_P1,financial services (probable),45,Path A,1,high,3,yes,1,high,3,high,60,yes,"classification,risk,scrutiny,verification",structural,"Frames .finance as a finance-oriented namespace signal that materially elevates procedural sensitivity despite absent semantic, operational, or behavioral corroboration. Elevated scrutiny and high verification priority are driven by potential downstream financial/regulatory abuse consequences and unresolved HTTP/content uncertainty rather than legitimacy or maliciousness inference.",9,1,1,1,1,RF,v1
study1_P1,S1,P1_052,R1,4,claude,2026-05-28,caldrison.legal,caldrsion,.legal,sector-specific,legal,full_triage,S1_P1,legal/legal services (tentative),45,Path B,2,medium,2,yes,1,medium,2,medium,55,yes,"classification,risk,scrutiny,verification",structural,"Frames .legal as a meaningful but still weak professional/legal namespace signal under conditions of near-total informational absence. Emphasizes unresolved credentialing ambiguity, uncertainty-driven scrutiny, and Path B uncertainty-preserving handling while explicitly avoiding legitimacy, authority, or threat inference.",6,1,1,1,0,RF,v1
study1_P1,S1,P1_053,R1,5,claude,2026-05-28,caldrison.kids,caldrsion,.kids,sector-specific,child-oriented,full_triage,S1_P1,children's content/youth-oriented digital services,55,Path A,1,high,3,yes,1,high,3,high,70,yes,"classification,risk,scrutiny,verification",structural,"Frames .kids as a procedurally meaningful child/youth-oriented namespace signal that elevates scrutiny and verification requirements despite absent semantic, operational, or behavioral corroboration. Elevated handling is driven by downstream audience-sensitivity considerations and unresolved uncertainty rather than legitimacy, intent, or trustworthiness inference.",8,1,1,1,0,RF,v1
study1_P1,S1,P1_054,R1,6,claude,2026-05-28,caldrison.org,caldrsion,.org,general-purpose,general,full_triage,S1_P1,unclear,12,Path B,2,medium,2,yes,1,medium,2,medium,55,yes,"classification,risk,scrutiny,verification",structural,Frames .org as providing only weak organizational/nonprofit-oriented namespace signaling insufficient for defensible subject-area classification under maximal informational scarcity. Emphasizes uncertainty-driven scrutiny and Path B uncertainty-preserving handling while explicitly distinguishing absence of observable signal from affirmative threat evidence.,4,0,1,0,0,RF,v1
study1_P1,S1,P1_055,R1,1,chatgpt,2026-05-28,lanteravia.com,lanteravia,.com,general-purpose,general,full_triage,S1_P1,unclear,92,Path B,2,medium,2,yes,1,high,3,medium,74,yes,"classification,risk,scrutiny,verification",structural,"Frames the namespace as providing no reliable sector-level interpretive signal under constrained uncertainty. Emphasizes unresolved uncertainty rather than positive threat evidence, resulting in medium risk weighting, heightened scrutiny, high verification priority, and uncertainty-preserving handling pending additional signals.",3,0,1,0,0,RF,v1
study1_P1,S1,P1_056,R1,2,chatgpt,2026-05-28,lanteravia.med,lanteravia,.med,sector-specific,medical,full_triage,S1_P1,medical/healthcare-related namespace signaling,72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,Frames .med as a comparatively strong healthcare-oriented namespace signal that materially alters procedural handling despite absent semantic or operational evidence. Elevated scrutiny and high verification priority are justified by asymmetric downstream harm potential and the insufficiency of namespace signals alone for trust determination.,8,1,1,1,0,RF,v1
study1_P1,S1,P1_057,R1,3,chatgpt,2026-05-28,lanteravia.finance,lanteravia,.finance,sector-specific,finance,full_triage,S1_P1,finance-related namespace signaling,72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,Frames .finance as a comparatively strong finance-oriented namespace signal that materially affects procedural handling despite absent operational or semantic corroboration. Elevated scrutiny and high verification priority are driven by asymmetric downstream risk and trust-sensitive financial contexts rather than any legitimacy inference.,8,1,1,1,1,RF,v1
study1_P1,S1,P1_058,R1,4,chatgpt,2026-05-28,lanteravia.legal,lanteravia,.legal,sector-specific,legal,full_triage,S1_P1,legal services/legal sector,72,Path A,1,medium,2,yes,1,high,3,medium,64,yes,"classification,risk,scrutiny,verification",structural,Frames .legal as a comparatively meaningful professional/legal namespace signal that justifies elevated procedural caution despite absent semantic or operational corroboration. Elevated scrutiny and high verification priority are driven by potential downstream legal/compliance consequences rather than any presumption of legitimacy or threat.,7,1,1,1,0,RF,v1
study1_P1,S1,P1_059,R1,5,chatgpt,2026-05-28,lanteravia.kids,lanteravia,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/youth-oriented consumer or educational web presence (tentative),58,Path A,1,medium,2,yes,1,high,3,medium,72,yes,"classification,risk,scrutiny,verification",structural,Frames .kids as a meaningful child/youth-oriented namespace signal that increases procedural sensitivity despite absent semantic or operational corroboration. Elevated scrutiny and high verification priority are justified by uncertainty management and downstream child-safety considerations rather than any legitimacy or threat inference.,9,1,1,1,0,RF,v1
study1_P1,S1,P1_060,R1,6,chatgpt,2026-05-28,lanteravia.org,lanteravia,.org,general-purpose,general,full_triage,S1_P1,nonprofit/organizational/advocacy-related web presence (tentative),58,Path B,2,medium,2,yes,1,medium,2,medium,72,yes,"classification,risk,scrutiny,verification",structural,"Frames .org as a weak organizational/nonprofit namespace signal that modestly informs procedural orientation without establishing sector certainty or legitimacy. Emphasizes uncertainty-driven scrutiny and explicit uncertainty-preserving handling due to absent operational, ownership, or content-level corroboration.",5,0,1,0,0,RF,v1
study1_P1,S1,P1_061,R1,1,chatgpt,2026-05-28,merquonix.com,merquonix,.com,general-purpose,general,full_triage,S1_P1,unclear,92,Path B,2,medium,2,yes,1,high,3,medium,78,yes,"classification,risk,scrutiny,verification",structural,"Frames merquonix.com as a maximal signal-scarcity case under general-purpose namespace conditions. Emphasizes informational absence rather than positive threat evidence, producing medium risk weighting, heightened scrutiny, high verification priority, and uncertainty-preserving handling while explicitly withholding sector or legitimacy inference.",3,0,1,0,0,RF,v1
study1_P1,S1,P1_062,R1,2,chatgpt,2026-05-28,merquonix.med,merquonix,.med,sector-specific,medical,full_triage,S1_P1,medical/healthcare-related,72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,Frames .med as a comparatively strong healthcare-oriented namespace signal that materially elevates procedural caution despite absent operational or semantic corroboration. Elevated scrutiny and high verification priority are driven by asymmetric downstream health-related consequences and unresolved uncertainty rather than legitimacy or authority inference.,8,1,1,1,0,RF,v1
study1_P1,S1,P1_063,R1,3,chatgpt,2026-05-28,merquonix.finance,merquonix,.finance,sector-specific,finance,full_triage,S1_P1,finance/financial services (tentative namespace-level association),72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,Frames .finance as a comparatively strong finance-oriented namespace signal that materially increases procedural sensitivity despite absent operational or semantic corroboration. Elevated scrutiny and high verification priority are driven by potential downstream financial/regulatory consequences and unresolved uncertainty rather than any legitimacy or trustworthiness inference.,9,1,1,1,1,RF,v1
study1_P1,S1,P1_064,R1,4,chatgpt,2026-05-28,merquonix.legal,merquonix,.legal,sector-specific,legal,full_triage,S1_P1,legal/legal-services-adjacent,72,Path A,1,medium,2,yes,1,high,3,medium,68,yes,"classification,risk,scrutiny,verification",structural,Frames .legal as a meaningful professional/legal namespace signal that justifies elevated procedural caution despite absent semantic or operational corroboration. Elevated scrutiny and high verification priority are driven by possible downstream legal/compliance implications and the risk of premature authority inference from namespace cues alone.,7,1,1,1,0,RF,v1
study1_P1,S1,P1_065,R1,5,chatgpt,2026-05-28,merquonix.kids,merquonix,.kids,sector-specific,child-oriented,full_triage,S1_P1,children/youth-oriented space (tentative),42,Path A,1,medium,2,yes,1,high,3,medium,64,yes,"classification,risk,scrutiny,verification",structural,Frames .kids as a weak but procedurally meaningful child/youth-oriented namespace signal under conditions of severe informational absence. Elevated scrutiny and high verification priority are justified by downstream sensitivity considerations and unresolved uncertainty rather than any legitimacy or threat inference.,8,1,1,1,0,RF,v1
study1_P1,S1,P1_066,R1,6,chatgpt,2026-05-28,merquonix.org,merquonix,.org,general-purpose,general,full_triage,S1_P1,unclear,82,Path B,2,medium,2,yes,1,medium,2,medium,71,yes,"classification,risk,scrutiny,verification",structural,"Frames .org as providing only weak organizational/nonprofit-oriented namespace signaling insufficient for substantive sector classification under constrained uncertainty. Emphasizes unresolved informational sparsity, uncertainty-driven scrutiny, and uncertainty-preserving handling while explicitly avoiding legitimacy, authority, or threat inference.",4,0,1,0,0,RF,v1
study1_P1,S1,P1_067,R1,1,chatgpt,2026-05-28,caldrison.com,caldrison,.com,general-purpose,general,full_triage,S1_P1,unclear,88,Path B,2,medium,2,yes,1,medium,2,medium,74,yes,"classification,risk,scrutiny,verification",structural,"Frames caldrison.com as a general-purpose namespace case with insufficient observable signal for meaningful sector classification. Emphasizes unresolved uncertainty, absence of corroborating operational/contextual evidence, and uncertainty-preserving handling while explicitly avoiding legitimacy, authority, or adversarial inference.",3,0,1,0,0,RF,v1
study1_P1,S1,P1_068,R1,2,chatgpt,2026-05-28,caldrison.med,caldrison,.med,sector-specific,medical,full_triage,S1_P1,healthcare/medical-related (tentative),68,Path A,1,high,3,yes,1,high,3,high,82,yes,"classification,risk,scrutiny,verification",structural,"Frames .med as a comparatively meaningful healthcare-oriented namespace signal that increases procedural sensitivity despite absent semantic, organizational, or operational corroboration. Elevated scrutiny and high verification priority are driven by possible downstream health-related consequences and unresolved uncertainty rather than legitimacy or authority inference.",8,1,1,1,0,RF,v1
study1_P1,S1,P1_069,R1,3,chatgpt,2026-05-28,caldrison.finance,caldrison,.finance,sector-specific,finance,full_triage,S1_P1,finance/financial services,72,Path A,1,high,3,yes,1,high,3,high,81,yes,"classification,risk,scrutiny,verification",structural,"Frames .finance as a comparatively strong finance-oriented namespace signal that materially elevates procedural sensitivity despite absent semantic, organizational, or operational corroboration. Elevated scrutiny and high verification priority are driven by potential downstream financial/legal consequences and unresolved uncertainty rather than legitimacy or threat inference.",9,1,1,1,1,RF,v1
study1_P1,S1,P1_070,R1,4,chatgpt,2026-05-28,caldrison.legal,caldrison,.legal,sector-specific,legal,full_triage,S1_P1,legal services/legal-domain infrastructure,72,Path A,1,medium,2,yes,1,high,3,medium,68,yes,"classification,risk,scrutiny,verification",structural,"Frames .legal as a meaningful legal/professional namespace signal that justifies elevated procedural caution despite absent semantic, operational, or external corroboration. Elevated scrutiny and high verification priority are driven by possible downstream legal/compliance implications and unresolved uncertainty rather than legitimacy or authority inference.",7,1,1,1,0,RF,v1
study1_P1,S1,P1_071,R1,5,chatgpt,2026-05-28,caldrison.kids,caldrison,.kids,sector-specific,child-oriented,full_triage,S1_P1,child-related/youth-oriented namespace category (operational subject unclear),62,Path A,1,medium,2,yes,1,high,3,medium,71,yes,"classification,risk,scrutiny,verification",structural,"Frames .kids as a procedurally meaningful child/youth-oriented namespace signal under conditions of substantial informational absence. Elevated scrutiny and high verification priority are driven by downstream child-safety sensitivity and unresolved uncertainty rather than legitimacy, safety, or authority inference.",8,1,1,1,0,RF,v1
study1_P1,S1,P1_072,R1,6,chatgpt,2026-05-28,caldrison.org,caldrison,.org,general-purpose,general,full_triage,S1_P1,unclear,88,Path B,2,medium,2,yes,1,medium,2,medium,74,yes,"classification,risk,scrutiny,verification",structural,"Frames .org as providing only weak organizational/nonprofit-oriented namespace signaling insufficient for reliable sector classification under constrained uncertainty. Emphasizes unresolved informational sparsity, uncertainty-driven scrutiny, and uncertainty-preserving handling while explicitly avoiding legitimacy, authority, or maliciousness inference.",4,0,1,0,0,RF,v1
